date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:04	116/116	---M-Z	200	added ('OK')	text/plain	date:Sat,%2017%20May%202025%2018:22:03%20GMT	https://KKLINIKIN.in/robots.txt		(from )
14:22:05	209829/209829	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2018:22:03%20GMT	https://KKLINIKIN.in/	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/index.html	(from )
14:22:26	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2017%20May%202025%2018:22:24%20GMT	https://KKLINIKIN.in/xmlrpc.php	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/xmlrpc.0.delayed	(from https://KKLINIKIN.in/)
14:22:36	79685/79685	---M-Z	200	added ('OK')	text/css	etag:%22be1fc3-13745-63509d4718cd6-gzip%22	https://KKLINIKIN.in/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.3.1	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend254d.css	(from https://KKLINIKIN.in/)
14:22:37	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22be05ed-b4e-63271f836c5b4-gzip%22	https://KKLINIKIN.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://KKLINIKIN.in/)
14:22:37	741/741	---M-Z	200	added ('OK')	application/rss+xml	etag:%223c09a0299dfaaf30b683506b5f3c4fcc-gzip%22	https://KKLINIKIN.in/comments/feed/	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/comments/feed/index.html	(from https://KKLINIKIN.in/)
14:22:37	17308/17308	---M-Z	200	added ('OK')	application/rss+xml	etag:%223c09a0299dfaaf30b683506b5f3c4fcc-gzip%22	https://KKLINIKIN.in/web-stories/feed/	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/web-stories/feed/index.html	(from https://KKLINIKIN.in/)
14:22:37	125/125	---M-Z	200	added ('OK')	text/css	etag:%22c826b3-7d-633dc11896c9e-gzip%22	https://KKLINIKIN.in/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script.css?ver=a0c286e30e803dfa8dc4	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script185c.css	(from https://KKLINIKIN.in/)
14:22:37	2782/2782	---M-Z	200	added ('OK')	text/css	etag:%22be14c7-ade-632d68e825ce8-gzip%22	https://KKLINIKIN.in/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1744746955	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min3212.css	(from https://KKLINIKIN.in/)
14:22:37	145561/145561	---M-Z	200	added ('OK')	application/rss+xml	etag:%223c09a0299dfaaf30b683506b5f3c4fcc-gzip%22	https://KKLINIKIN.in/feed/	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/feed/index.html	(from https://KKLINIKIN.in/)
14:22:37	776/776	---M-Z	200	added ('OK')	text/css	etag:%22be19a7-308-63509d470d53d-gzip%22	https://KKLINIKIN.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.3.1	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor254d.css	(from https://KKLINIKIN.in/)
14:22:38	20400/20400	---M-Z	200	added ('OK')	text/css	etag:%22c82459-4fb0-633635ed70a97-gzip%22	https://KKLINIKIN.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.36.0	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4e44.css	(from https://KKLINIKIN.in/)
14:22:38	53275/53275	---M-Z	200	added ('OK')	text/css	etag:%22c8112c-d01b-633635eaabe73-gzip%22	https://KKLINIKIN.in/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.4	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/elementor/assets/css/frontend.min89ce.css	(from https://KKLINIKIN.in/)
14:22:38	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%2212812a4-490-629b91ba8e18b-gzip%22	https://KKLINIKIN.in/wp-content/uploads/elementor/css/post-5014.css?ver=1734724870	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/uploads/elementor/css/post-50143348.css	(from https://KKLINIKIN.in/)
14:22:38	600/600	---M-Z	200	added ('OK')	text/css	etag:%22c81288-258-633635eab2404-gzip%22	https://KKLINIKIN.in/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.4	C:/Users/laptop/Downloads/dlkdqd/KKLINIKIN.in/wp-content/plugins/elementor/assets/css/widget-heading.min89ce.css	(from https://KKLINIKIN.in/)
